Entrezid
7153
5836
3832
1312
2735
4353
148
7124
3480
6197
6469
760
1513
3791
207
4751
7083
3265
1509
873
2539
142
4313
10327
2147
995
4318
6721
367
4323
5290
5468
4233
2597
7099
7157
5243
7272
3156
7298
5743
3091
1956
9212
6790
1586
8318
7015
5230
64754
2222
4170
1230
1636
7412
3309
7376
3417
2052
5347
9971
1646
673
2099
2475
5747
57016
2171
6319
1019
2194
328
1544
596
983
2264
4780
598
2146
